Province,District,LocalLevel,Ward,Population2021,Female,Density,SourceFile
3,Bagmati ,TinpatanGaunpalika,7,1790,906,110.29418107618,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,8,3100,1524,153.288025678414,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,9,3732,1880,88.4365533488413,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,10,2479,1261,153.99811151973,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,11,3948,2004,226.426534482817,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,1,3974,2095,137.026166687815,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,2,2505,1337,122.823348399828,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,3,1601,847,88.1826832343624,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,4,2691,1463,73.2821104724956,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,5,1935,1047,191.526207515825,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,6,3638,1902,248.671388688897,WardPopulationBagmati.xlsx
7,Bagmati ,DorambaGaunpalika,7,1342,707,113.107708458897,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,1,2327,1184,29.9830305324274,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,2,2278,1182,78.1328217497081,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,3,3764,1881,116.722052789874,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,4,3557,1892,205.626239133662,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,5,3732,1981,133.32840794663,WardPopulationBagmati.xlsx
2,Bagmati ,GokulgangaGaunpalika,6,2140,1125,151.870203491879,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,1,2602,1377,126.534953603202,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,2,1476,810,85.9789731314544,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,3,2377,1286,88.5824391146661,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,4,3128,1625,139.017359703907,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,5,1949,1037,225.472491546228,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,6,1601,858,197.52271233599,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,7,3003,1598,140.731356914591,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,8,1722,927,110.155252377709,WardPopulationBagmati.xlsx
6,Bagmati ,KhandadeviGaunpalika,9,1454,799,150.131390780446,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,1,2509,1273,83.7835600492871,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,2,2553,1316,154.218240375314,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,3,1884,984,170.963392327501,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,4,2162,1167,142.318722185889,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,5,2879,1592,167.727464716934,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,6,3357,1806,152.869207483132,WardPopulationBagmati.xlsx
3,Bagmati ,Likhu TamakoshiGaunpalika,7,2981,1690,235.273950114661,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,1,8779,4492,802.212384609438,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,2,2154,1192,177.220982470673,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,3,1954,1065,134.900508113741,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,4,2825,1533,142.266658884387,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,5,1861,988,143.835704844805,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,6,3021,1576,95.6200660591907,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,7,3382,1773,132.722370897179,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,8,2551,1407,254.706809098794,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,9,2233,1243,190.580314069188,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,10,1771,951,134.534925448964,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,11,2323,1298,126.73762300451,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,12,2090,1138,266.372883291461,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,13,2564,1366,218.625419110215,WardPopulationBagmati.xlsx
5,Bagmati ,Manthali Municipality,14,2187,1193,189.866659258365,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,1,2754,1402,264.551840153052,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,2,3014,1592,175.812863248392,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,3,1943,1027,214.729184282177,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,4,3399,1835,97.2403369739574,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,5,3135,1670,82.8114079410672,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,6,2801,1497,109.048570879741,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,7,3091,1641,107.157229296086,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,8,3538,1848,144.022342106959,WardPopulationBagmati.xlsx
4,Bagmati ,RamechhapMunicipality,9,1296,701,93.0339468381344,WardPopulationBagmati.xlsx
